10.4 24.4 35.0 -1	
10770.39	0.00000126018
10920.53	0.00000119633
11072.75	0.00000113571
11227.10	0.00000107813
11383.60	0.00000102348
11542.28	0.00000097159
11703.17	0.00000092233
11866.31	0.00000087557
12031.72	0.00000083116
12199.44	0.00000078901
12369.49	0.00000074899
12541.91	0.00000071100
12716.74	0.00000067493
12894.01	0.00000064069
13073.74	0.00000060818
13255.98	0.00000057733
13440.76	0.00000054803
13628.12	0.00000052022
13818.09	0.00000049383
14010.71	0.00000046876
14206.01	0.00000044497
14404.03	0.00000042239
14604.82	0.00000040096
14808.40	0.00000038061
15014.82	0.00000036129
15224.12	0.00000034295
15436.34	0.00000032554
15651.51	0.00000030902
15869.68	0.00000029333
16090.90	0.00000027844
16315.20	0.00000026431
16542.62	0.00000025089
16773.21	0.00000023816
17007.03	0.00000022607
17244.09	0.00000021460
17484.47	0.00000020370
17728.19	0.00000019336
17975.31	0.00000018355
18225.88	0.00000017423
18479.94	0.00000016539
18737.54	0.00000015699
18998.73	0.00000014903
19263.56	0.00000014146
19532.08	0.00000013428
19804.35	0.00000012747
20080.41	0.00000081079
20360.32	0.00000077171
20644.13	0.00000073442
20931.90	0.00000069885
21223.68	0.00000066495
21519.53	0.00000063263
21819.50	0.00000060182
22123.65	0.00000057247
22432.04	0.00000054449
22744.73	0.00000051784
23061.78	0.00000049244
23383.25	0.00000046826
23709.20	0.00000044522
24039.70	0.00000042329
24374.79	0.00000040240
24714.57	0.00000038252
25059.07	0.00000036359
25408.38	0.00000034558
25762.56	0.00000032843
26121.68	0.00000031212
26485.80	0.00000029659
26855.00	0.00000028182
27229.34	0.00000026777
27608.91	0.00000025441
27993.76	0.00000024169
28383.98	0.00000022960
28779.63	0.00000021810
29180.81	0.00000020717
29587.57	0.00000019677
30000.01	0.00000018689
-1	-1

